id,name,latlon
0,北海道,43.499600:142.580917
1,青森県,40.795029:140.814115
2,岩手県,39.623031:141.359896
3,宮城県,38.448652:140.927942
4,秋田県,39.714236:140.404475
5,山形県,38.438786:140.110497
6,福島県,37.419808:140.154795
7,茨城県,36.318649:140.315060
8,栃木県,36.693809:139.820473
9,群馬県,36.534729:138.974119
10,埼玉県,36.009327:139.390831
11,千葉県,35.508239:140.273033
12,東京都,35.705533:139.432010
13,神奈川県,35.442791:139.346399
14,新潟県,37.567714:138.846901
15,富山県,36.631122:137.238417
16,石川県,36.703813:136.842990
17,福井県,35.845965:136.113377
18,山梨県,35.616685:138.622966
19,長野県,36.137520:138.042947
20,岐阜県,35.795822:137.002872
21,静岡県,35.083094:138.451134
22,愛知県,35.027002:137.235188
23,三重県,34.545511:136.413417
24,滋賀県,35.205271:136.158770
25,京都府,35.248257:135.444748
26,大阪府,34.644144:135.492124
27,兵庫県,35.128521:134.839690
28,奈良県,34.317759:135.877870
29,和歌山県,33.939171:135.488402
30,鳥取県,35.361488:133.823833
31,島根県,35.001372:132.493303
32,岡山県,34.917838:133.811102
33,広島県,34.634488:132.786226
34,山口県,34.235729:131.614308
35,徳島県,33.925205:134.219115
36,香川県,34.266061:133.969242
37,愛媛県,33.640340:132.849752
38,高知県,33.328219:133.481582
39,福岡県,33.485640:130.661796
40,佐賀県,33.297032:130.157382
41,長崎県,33.612437:129.366707
42,熊本県,32.612737:130.838827
43,大分県,33.215575:131.413699
44,宮崎県,32.124232:131.306830
45,鹿児島県,29.701940:129.974488
46,沖縄県,26.582859:127.524010
